TID,KEY,TIME,I,WND,PRED_WND
1827,2000-01,2000050700,2,20,21.74065040844863
1827,2000-01,2000050706,3,25,21.230786337282552
1827,2000-01,2000050712,3,28,21.097498662910255
1827,2000-01,2000050718,3,30,21.162671140460077
1827,2000-01,2000050800,4,33,29.449699926394715
1827,2000-01,2000050806,4,35,34.9704247638694
1827,2000-01,2000050812,4,35,36.239955218831994
1827,2000-01,2000050818,4,40,36.46804262551137
1827,2000-01,2000050900,5,45,38.854856224684795
1827,2000-01,2000050906,5,50,39.008771125018654
1827,2000-01,2000050912,5,50,37.148701385999516
1827,2000-01,2000050918,5,50,42.92122120376064
1827,2000-01,2000051000,5,50,47.77555929068785
1827,2000-01,2000051006,5,45,50.7804728220284
1827,2000-01,2000051012,4,40,46.74265824279888
1827,2000-01,2000051018,4,40,44.11275664108285
1827,2000-01,2000051100,4,35,43.47342263900009
1827,2000-01,2000051106,3,30,34.612191276367355
1827,2000-01,2000051112,3,28,29.17174346110204
1827,2000-01,2000051118,3,25,33.21102924199272
1827,2000-01,2000051200,2,20,27.64117401009264
1827,2000-01,2000051206,2,18,21.16621225055428
1827,2000-01,2000051212,9,15,22.416692788625255
1828,2000-02,2000051912,2,20,13.15647088132863
1828,2000-02,2000051918,2,23,16.746343390604693
1828,2000-02,2000052000,2,20,23.82794085545777
1828,2000-02,2000052006,9,15,20.359609391427057
1828,2000-02,2000052012,9,15,18.968956133430027
1828,2000-02,2000052018,9,15,22.256361482747934
1828,2000-02,2000052100,9,15,15.535541154454734
1832,2000-06,2000070412,4,40,32.399310683642625
1832,2000-06,2000070418,4,40,37.96850932118815
1832,2000-06,2000070500,5,45,38.89970356330838
1832,2000-06,2000070506,5,45,45.38467412076676
1832,2000-06,2000070512,5,45,40.80063448249524
1832,2000-06,2000070518,4,40,37.86977420774298
1832,2000-06,2000070600,4,40,44.804241611531495
1832,2000-06,2000070606,4,40,41.23924036012602
1832,2000-06,2000070612,4,40,40.303060147995666
1832,2000-06,2000070618,4,40,31.48507581682702
1832,2000-06,2000070700,4,35,33.21012382236074
1832,2000-06,2000070706,4,35,34.82615488336438
1832,2000-06,2000070712,4,35,34.37211049300021
1832,2000-06,2000070718,4,35,34.1540106494042
1832,2000-06,2000070800,4,33,25.68531390775354
1832,2000-06,2000070806,3,30,26.19448935044437
1832,2000-06,2000070812,3,25,26.647365709084795
1832,2000-06,2000070818,3,25,26.025023924950403
1832,2000-06,2000070900,3,25,22.559406766205427
1833,2000-07,2000070412,1,15,18.56840372114317
1833,2000-07,2000070418,1,15,18.594859289492717
1833,2000-07,2000070500,1,15,18.163830032723865
1833,2000-07,2000070506,1,15,16.788201678385064
1833,2000-07,2000070512,1,15,15.916937366450043
1833,2000-07,2000070518,2,20,16.776872338692954
1833,2000-07,2000070600,3,25,16.60561109303444
1833,2000-07,2000070606,3,28,16.653624649033702
1833,2000-07,2000070612,3,30,16.160621052362103
