School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,size
Massachusetts Institute of Technology (MIT),Engineering,72200,126000,76800,99200,168000,220000,2
California Institute of Technology (CIT),Engineering,75500,123000,0,104000,161000,0,2
Harvey Mudd College,Engineering,71800,122000,0,96000,180000,0,2
"Polytechnic University of New York, Brooklyn",Engineering,62400,114000,66800,94300,143000,190000,2
Cooper Union,Engineering,62200,114000,0,80200,142000,0,2
Worcester Polytechnic Institute (WPI),Engineering,61000,114000,80000,91200,137000,180000,2
Carnegie Mellon University (CMU),Engineering,61800,111000,63300,80100,150000,209000,2
Rensselaer Polytechnic Institute (RPI),Engineering,61100,110000,71600,85500,140000,182000,2
Georgia Institute of Technology,Engineering,58300,106000,67200,85200,137000,183000,2
Colorado School of Mines,Engineering,58100,106000,62200,87900,142000,201000,2
Stevens Institute of Technology,Engineering,60600,105000,68700,81900,138000,185000,2
Illinois Institute of Technology (IIT),Engineering,56000,97800,56100,77400,121000,165000,2
Wentworth Institute of Technology,Engineering,53000,96700,55200,74000,117000,153000,2
Virginia Polytechnic Institute and State University (Virginia Tech),Engineering,53500,95400,50600,71400,124000,163000,2
South Dakota School of Mines & Technology,Engineering,55800,93400,71500,81900,122000,147000,2
New Mexico Institute of Mining and Technology (New Mexico Tech),Engineering,51000,93400,0,67400,123000,0,2
Rochester Institute of Technology (RIT),Engineering,48900,84600,45000,62100,112000,159000,2
Embry-Riddle Aeronautical University (ERAU),Engineering,52700,80700,49800,64000,106000,142000,2
Tennessee Technological University,Engineering,46200,80000,42100,62600,99500,121000,2
University of Illinois at Urbana-Champaign (UIUC),Party,52900,96100,48200,68900,132000,177000,2
"University of Maryland, College Park",Party,52000,95000,50400,68300,126000,166000,2
"University of California, Santa Barbara (UCSB)",Party,50500,95000,51300,71200,129000,173000,2
University of Texas (UT) - Austin,Party,49700,93900,50100,67400,129000,188000,2
State University of New York (SUNY) at Albany,Party,44500,92200,47000,63100,135000,209000,2
University of Florida (UF),Party,47100,87900,45400,62900,120000,172000,2
Louisiana State University (LSU),Party,46900,87800,43700,61300,120000,165000,2
University of Georgia (UGA),Party,44100,86000,43100,57800,118000,164000,2
Pennsylvania State University (PSU),Party,49900,85700,46300,62000,117000,160000,2
Arizona State University (ASU),Party,47400,84100,44600,60700,114000,163000,2
"Indiana University (IU), Bloomington",Party,46300,84000,43600,60400,119000,178000,2
University of Iowa (UI),Party,44700,83900,43300,61100,116000,163000,2
Randolph-Macon College,Party,42600,83600,0,54100,123000,0,2
"University of Alabama, Tuscaloosa",Party,41300,81400,40100,56500,117000,161000,2
University of Mississippi,Party,41400,79700,40400,53500,108000,186000,2
University of New Hampshire (UNH),Party,41800,78300,41700,56400,114000,147000,2
West Virginia University (WVU),Party,43100,78100,39700,55700,106000,141000,2
University of Tennessee,Party,43800,74600,41900,53200,106000,153000,2
Ohio University,Party,42200,73400,36600,52800,106000,150000,2
Florida State University (FSU),Party,42100,73000,39600,52800,107000,156000,2
Bucknell University,Liberal Arts,54100,110000,62800,80600,156000,251000,2
Colgate University,Liberal Arts,52800,108000,60000,76700,167000,265000,2
Amherst College,Liberal Arts,54500,107000,0,84900,162000,0,2
Lafayette College,Liberal Arts,53900,107000,70600,79300,144000,204000,2
Bowdoin College,Liberal Arts,48100,107000,0,74600,146000,0,2
College of the Holy Cross,Liberal Arts,50200,106000,0,65600,143000,0,2
Occidental College,Liberal Arts,51900,105000,0,54800,157000,0,2
Washington and Lee University,Liberal Arts,53600,104000,0,82800,146000,0,2
Swarthmore College,Liberal Arts,49700,104000,0,67200,167000,0,2
Davidson College,Liberal Arts,46100,104000,0,70500,146000,0,2
Carleton College,Liberal Arts,47500,103000,0,69400,141000,0,2
Williams College,Liberal Arts,51700,102000,0,76400,143000,0,2
Pomona College,Liberal Arts,48600,101000,0,63300,161000,0,2
"Wesleyan University (Middletown, Connecticut)",Liberal Arts,46500,97900,42000,62500,126000,215000,2
Bates College,Liberal Arts,47300,96500,0,60700,162000,0,2
Union College,Liberal Arts,47200,95800,48700,75200,135000,230000,2
University of Richmond,Liberal Arts,48600,94600,44500,59400,151000,211000,2
Vassar College,Liberal Arts,46000,94600,0,60600,123000,0,2
Middlebury College,Liberal Arts,47700,94200,0,69100,129000,0,2
Mount Holyoke College,Liberal Arts,42400,94100,0,57100,131000,0,2
Franklin and Marshall College,Liberal Arts,49100,92800,0,55800,185000,0,2
DePauw University,Liberal Arts,41400,88300,49500,57400,133000,185000,2
St. Olaf College,Liberal Arts,45300,86200,41300,61000,120000,185000,2
Colby College,Liberal Arts,46400,85800,0,63500,129000,0,2
Gettysburg College,Liberal Arts,44700,85800,0,66300,132000,0,2
Siena College,Liberal Arts,45500,85200,38700,58400,129000,189000,2
Smith College,Liberal Arts,44000,83900,45100,59800,129000,184000,2
Hamilton College,Liberal Arts,49200,83700,0,51900,123000,0,2
Randolph-Macon College,Liberal Arts,42600,83600,0,54100,123000,0,2
Wellesley College,Liberal Arts,42800,83500,0,58600,125000,0,2
Denison University,Liberal Arts,42000,83500,0,62100,122000,0,2
Oberlin College,Liberal Arts,43400,81600,0,46400,128000,0,2
University of Puget Sound,Liberal Arts,46600,81500,48900,60100,104000,137000,2
Colorado College (CC),Liberal Arts,38500,81400,0,43000,148000,0,2
Reed College,Liberal Arts,40500,81100,0,67400,101000,0,2
Gustavus Adolphus College,Liberal Arts,44500,80600,0,49300,101000,0,2
Whitman College,Liberal Arts,43500,80100,0,64800,111000,0,2
Ursinus College,Liberal Arts,42100,80000,35600,54300,100000,160000,2
Juniata College,Liberal Arts,41800,78900,0,67200,110000,0,2
Wittenberg University,Liberal Arts,39200,78200,0,54100,131000,0,2
Grinnell College,Liberal Arts,42600,76600,0,65100,116000,0,2
Skidmore College,Liberal Arts,41600,74600,0,42800,147000,0,2
Moravian College,Liberal Arts,42500,74400,0,56700,94900,0,2
Lewis & Clark College,Liberal Arts,38900,72600,38200,53400,104000,140000,2
Fort Lewis College,Liberal Arts,42000,69800,0,55000,94000,0,2
Thomas Aquinas College,Liberal Arts,41500,67500,0,44600,93100,0,2
Evergreen State College,Liberal Arts,39500,63900,38800,47200,91600,120000,2
Dartmouth College,Ivy League,58000,134000,63100,90200,234000,321000,2
Princeton University,Ivy League,66500,131000,68900,100000,190000,261000,2
Yale University,Ivy League,59100,126000,58000,80600,198000,326000,2
Harvard University,Ivy League,63400,124000,54800,86200,179000,288000,2
University of Pennsylvania,Ivy League,60900,120000,55900,79200,192000,282000,2
Cornell University,Ivy League,60300,110000,56800,79800,160000,210000,2
Brown University,Ivy League,56200,109000,55400,74400,159000,228000,2
Columbia University,Ivy League,59400,107000,50300,71900,161000,241000,2
"University of California, Berkeley",State,59900,112000,59500,81000,149000,201000,2
University of Virginia (UVA),State,52700,103000,52200,71800,146000,215000,2
Cal Poly San Luis Obispo,State,57200,101000,55000,74700,133000,178000,2
University of California at Los Angeles (UCLA),State,52600,101000,51300,72500,139000,193000,2
"University of California, San Diego (UCSD)",State,51100,101000,51700,75400,131000,177000,2
"University of California, Davis",State,52300,99600,52000,71600,135000,202000,2
University of Colorado - Boulder (UCB),State,47100,97600,51600,69000,128000,187000,2
"University of California, Irvine (UCI)",State,48300,96700,47800,66000,123000,172000,2
University of Illinois at Urbana-Champaign (UIUC),State,52900,96100,48200,68900,132000,177000,2
Texas A&M University,State,49700,96100,51100,71300,131000,171000,2
Binghamton University,State,53600,95900,50900,71200,146000,201000,2
University of Missouri - Rolla (UMR),State,57100,95800,67600,80400,122000,166000,2
San Jose State University (SJSU),State,53500,95600,50700,70500,122000,156000,2
"University of Maryland, College Park",State,52000,95000,50400,68300,126000,166000,2
"University of California, Santa Barbara (UCSB)",State,50500,95000,51300,71200,129000,173000,2
University of Texas (UT) - Austin,State,49700,93900,50100,67400,129000,188000,2
University of Michigan,State,52700,93000,50900,69400,128000,182000,2
Stony Brook University,State,49500,93000,47200,67100,129000,181000,2
State University of New York (SUNY) at Albany,State,44500,92200,47000,63100,135000,209000,2
Rutgers University,State,50300,91800,48100,65100,128000,176000,2
Purdue University,State,51400,90500,49900,67400,121000,168000,2
University of Connecticut (UConn),State,48000,88800,46100,66400,120000,162000,2
